Feature,Importance value
LOS,0.23464173793456142
AGE,0.05995217861198112
FRSTUSE1,0.05157898898226645
REGION,0.04973796019176419
PSOURCE,0.043999204441719196
SUB2,0.04396488978795898
EDUC,0.0420527676241759
FREQ1,0.037530146791288306
SUB1,0.035340121646673835
FREQ_ATND_SELF_HELP,0.03318067924232702
EMPLOY,0.03277334541012567
DSMCRIT,0.03242321188341525
LIVARAG,0.03241702173669833
SERVICES,0.03198162406451275
MARSTAT,0.0317058000095678
RACE,0.029039791519593575
ROUTE1,0.026577560684435213
PSYPROB,0.019945324520987445
NOPRIOR,0.019665335203762506
GENDER,0.019141653115497013
MARFLG,0.01565984453352491
ALCDRUG,0.01419458114648138
MTHAMFLG,0.013198848229945518
COKEFLG,0.012635110023458677
OPSYNFLG,0.012463208378678585
HERFLG,0.010886664395981807
ALCFLG,0.007401556659668925
VET,0.005910843228948227
DISYR,0.0
