Feature,Importance value
LOS,0.3272154043104422
AGE,0.061572690753844125
FRSTUSE1,0.0543714106632688
PSOURCE,0.041739956757165186
EDUC,0.04049106529874391
SUB2,0.03684439484933849
DSMCRIT,0.036794711715247425
REGION,0.032693412621240224
SERVICES,0.031514830509190364
RACE,0.029054115582375566
EMPLOY,0.028422373894836084
MARSTAT,0.028082748056528516
FREQ_ATND_SELF_HELP,0.0273424838925516
LIVARAG,0.026580184243719367
SUB1,0.02529661301536718
FREQ1,0.023793096963571587
ROUTE1,0.02298854640484327
PSYPROB,0.020147730894984842
GENDER,0.01757428427851776
NOPRIOR,0.014245401081403366
COKEFLG,0.013284217461818132
MARFLG,0.012973091028457995
HERFLG,0.010125614892004232
ALCDRUG,0.009450969339553014
OPSYNFLG,0.008124051410395808
MTHAMFLG,0.007603636912909442
ALCFLG,0.0065793824701785705
VET,0.0050935806975026966
DISYR,0.0
